node	r(thre.)	node_cc
41	0.170000	0.919306
42	0.170000	0.802867
43	0.170000	0.973016
44	0.170000	0.839860
45	0.170000	0.888190
46	0.170000	0.826776
47	0.170000	0.864865
48	0.170000	0.848997
49	0.170000	0.812797
50	0.170000	0.802867
51	0.170000	0.831073
52	0.170000	0.899823
53	0.170000	0.873515
54	0.170000	0.850139
55	0.170000	0.898672
56	0.170000	0.802867
57	0.170000	0.829944
58	0.170000	0.849832
59	0.170000	0.847059
60	0.170000	0.812568
61	0.170000	0.842044
62	0.170000	0.897255
63	0.170000	0.904718
64	0.170000	0.980488

1	0.180000	0.960386
2	0.180000	0.947271
3	0.180000	0.797306
4	0.180000	0.854167
5	0.180000	0.823308
6	0.180000	0.912913
7	0.180000	0.929796
8	0.180000	0.815313
